package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"react-highlight","extracted-with-diagnostics","0.12.9999","react-highlight","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-highlight-words","extracted-with-diagnostics","0.20.9999","react-highlight-words","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-highlight.js","extracted-with-diagnostics","1.0.9999","react-highlight.js","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-highlighter","extracted-with-diagnostics","0.3.9999","react-highlighter","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"react-hint","extracted-with-diagnostics","3.2.9999","react-hint","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-holder","extracted-with-diagnostics","1.0.9999","react-holder","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-hook-mousetrap","extracted","2.0.9999","react-hook-mousetrap","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"react-hooks-helper","extracted-with-diagnostics","1.6.9999","react-hooks-helper","5","4","5","1","1","0","0","1","1","0","0","0","0","0","0","0","0","4"
"react-howler","extracted-with-diagnostics","5.2.9999","react-howler","52","52","31","5","1","0","0","1","1","0","0","0","0","0","0","0","34","45"
"react-html-email","extracted-with-diagnostics","3.0.9999","react-html-email","8","3","8","1","0","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-html-parser","extracted-with-diagnostics","2.0.9999","react-html-parser","4","4","4","0","0","0","0","2","2","0","0","0","0","0","0","0","0","4"
"react-html5-camera-photo","extracted-with-diagnostics","1.5.9999","react-html5-camera-photo","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-hyperscript","extracted-with-diagnostics","3.0.9999","react-hyperscript","17","17","1","13","13","0","0","1","1","0","0","0","0","0","0","0","17","17"
"react-icofont","extracted-with-diagnostics","1.0.9999","react-icofont","6","3","6","3","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-icon-base","extracted-with-diagnostics","2.1.9999","react-icon-base","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-image-fallback","extracted-with-diagnostics","8.0.9999","react-image-fallback","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-image-gallery","extracted-with-diagnostics","1.2.9999","react-image-gallery","11","11","10","5","1","0","0","1","1","0","0","0","0","0","0","0","2","11"
"react-image-magnifiers","extracted-with-diagnostics","1.3.9999","react-image-magnifiers","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"react-image-magnify","extracted-with-diagnostics","2.7.9999","react-image-magnify","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-imageloader","extracted-with-diagnostics","2.1.9999","react-imageloader","3","3","3","3","1","0","0","1","1","1","0","0","0","0","0","0","0","3"
