package,status,export_signature_pairs,selected_entries,extracted_entries,missing_entries,diagnostics
base64id,extracted-with-diagnostics,90,1,1,0,5
base64topdf,extracted,6,1,1,0,0
base64util,extracted,18,1,1,0,0
bases,extracted,4,1,1,0,0
bash-glob,extracted,8,1,1,0,0
basic-auth,extracted-with-diagnostics,2,1,1,0,5
basicauth-middleware,extracted-with-diagnostics,2,1,1,0,5
basiclightbox,extracted,6,1,1,0,0
basicscroll,extracted,10,1,1,0,0
basil.js,extracted,74,1,1,0,0
batch-stream,extracted-with-diagnostics,140,1,1,0,5
battery-level,extracted,1,1,1,0,0
bayes-classifier,extracted,12,1,1,0,0
bazinga-translator,extracted,10,1,1,0,0
bbcode-to-react,extracted-with-diagnostics,3,1,1,0,1
bchaddrjs,extracted,15,1,1,0,0
bcrypt,extracted-with-diagnostics,12,1,1,0,5
bcswipe,extracted,0,1,1,0,0
bdfjs,extracted-with-diagnostics,3,1,1,0,5
beanstalkd,extracted-with-diagnostics,67,1,1,0,5
beanstalkd-worker,extracted-with-diagnostics,47,1,1,0,5
bearcat-es6,extracted-with-diagnostics,683,1,1,0,5
beats,extracted,1,1,1,0,0
beautify,extracted,1,1,1,0,0
begin__data,extracted,30,1,1,0,0
behavior3,extracted,0,1,1,0,0
belter,extracted,22,1,1,0,0
bem-classname,extracted,1,1,1,0,0
bemmer,extracted,4,1,1,0,0
benchmark,extracted,86,1,1,0,0
bencode,extracted,6,1,1,0,0
bent,extracted-with-diagnostics,14,1,1,0,5
bero,extracted,5,1,1,0,0
bessel,extracted,4,1,1,0,0
better-bem,extracted,3,1,1,0,0
better-curry,extracted,0,1,1,0,0
better-queue,extracted-with-diagnostics,156,1,1,0,5
better-sqlite3,extracted-with-diagnostics,7,1,1,0,5
beyonk__gdpr-cookie-consent-banner,partial-entry,2,2,1,1,0
bezier-js,extracted,418,1,1,0,0
bgiframe,extracted,0,1,1,0,0
bible-reference-formatter,extracted,1,1,1,0,0
bicubic-interpolate,extracted,4,1,1,0,0
bidi-css-js,extracted,1,1,1,0,0
bidirectional-map,extracted,12,1,1,0,0
big-json,extracted-with-diagnostics,6,1,1,0,5
big-rat,extracted-with-diagnostics,1,1,1,0,5
big-sparse-array,extracted,4,1,1,0,0
big.js,extracted,59,1,1,0,0
bigbite__wp-cypress,extracted-with-diagnostics,0,1,1,0,18
bigbluebutton-js,extracted,33,1,1,0,0
bigi,extracted,306,1,1,0,0
bigint,extracted-with-diagnostics,0,1,1,0,1
bignum,extracted-with-diagnostics,89,1,1,0,5
bigscreen,extracted,8,1,1,0,0
biguintbe,extracted-with-diagnostics,3,1,1,0,5
biguintle,extracted-with-diagnostics,3,1,1,0,5
bin-pack,extracted,1,1,1,0,0
binary-file,extracted-with-diagnostics,58,1,1,0,5
binary-parse-stream,extracted-with-diagnostics,141,1,1,0,5
binary-split,extracted-with-diagnostics,1,1,1,0,5
binary-xml,extracted-with-diagnostics,1,1,1,0,5
bind-args,extracted,1,1,1,0,0
bind-ponyfill,extracted,1,1,1,0,0
bindings,extracted-with-diagnostics,3,1,1,0,5
bintrees,extracted,42,1,1,0,0
bip21,extracted,2,1,1,0,0
bip38,extracted-with-diagnostics,99,1,1,0,5
bip38grs,extracted-with-diagnostics,99,1,1,0,5
bit-array,extracted,17,1,1,0,0
bit-twiddle,extracted,18,1,1,0,0
bitauth,extracted-with-diagnostics,9,1,1,0,5
bitcoin-computer-bitcore,extracted-with-diagnostics,1139,1,1,0,5
